title,work experience,salary,region
Python Разработчик,1–3 года,от 200 000 до 1 500 000 KZT на руки,Астана
Full-stack Python Developer,3–6 лет,от 4 500 до 5 000 EUR до вычета налогов,Астана
Junior разработчик/программист в Python,не требуется,от 150 000 до 200 000 KZT до вычета налогов,Нур-Султан (Астана)
Python Developer (Middle/Senior),3–6 лет,от 2 000 до 4 000 USD на руки,Алматы
Backend разработчик,1–3 года,з/п не указана,Астана
Python разработчик в CM.Expert (Яндекс Вертикали),3–6 лет,з/п не указана,Алматы
Разработчик Python / Django Developer (middle/senior),1–3 года,з/п не указана,Алматы
Python Developer,1–3 года,з/п не указана,Семей
Senior Python Developer,3–6 лет,от 3 000 до 5 000 USD до вычета налогов,Алматы
Senior Python Developer,3–6 лет,от 3 000 до 5 000 USD до вычета налогов,Астана
Middle Python Developer (микросервисная архитектура),1–3 года,от 2 500 до 3 000 USD на руки,Астана
Разработчик Python в команду Data&AI,3–6 лет,з/п не указана,Алматы
Python Developer (Crypto),3–6 лет,от 5 000 EUR на руки,город Лимасол
Разработчик,1–3 года,з/п не указана,Алматы
Automation QA (Python/ JavaScript),1–3 года,з/п не указана,Астана
Python Developer,1–3 года,з/п не указана,Алматы
Разработчик Python,3–6 лет,з/п не указана,Астана
Инженер по автоматизации тестирования (QA Automation Engineer) (Python/JavaScript/TypeScript),1–3 года,з/п не указана,Алматы
Middle Python|Django|FastAPI разработчик,1–3 года,з/п не указана,Алматы
Senior backend разработчик Python,3–6 лет,з/п не указана,Алматы
Разработчик Python,3–6 лет,з/п не указана,Алматы
"Программист Backend в Технический блок (Python, SQL)",3–6 лет,з/п не указана,Алматы
Go разработчик со знаниями Python,1–3 года,до 1 000 000 KZT на руки,Алматы
Middle/Senior Python Developer,1–3 года,з/п не указана,Алматы
Python разработчик в CM.Expert (Яндекс Вертикали),3–6 лет,з/п не указана,Астана
Senior Python developer,3–6 лет,з/п не указана,Астана
Senior Software Engineer (Python),3–6 лет,от 5 000 до 7 000 EUR на руки,Астана
Backend разработчик со знанием Python,3–6 лет,от 2 500 до 3 000 USD на руки,Алматы
Python Developer,3–6 лет,з/п не указана,Алматы
Python Developer,3–6 лет,з/п не указана,Астана
"Разработчик С++/Python (senior), Linux, backend, embedded",3–6 лет,от 160 000 до 250 000 руб. на руки,Алматы
Middle Backend разработчик (Python),3–6 лет,от 400 000 до 900 000 KZT на руки,Нур-Султан (Астана)
"Разработчик DevOps - Отдел роботизации процессов, внедрения мобильных ботов и технологии реальности",3–6 лет,з/п не указана,Нур-Султан (Астана)
Разработчик Middle Backend (Python) Developer,1–3 года,от 300 000 до 600 000 KZT до вычета налогов,Нур-Султан (Астана)
"Преподаватель по программированию (Python, С++, Java)",1–3 года,от 150 000 до 250 000 KZT на руки,Атырау
Back-end developer,1–3 года,от 600 000 до 750 000 KZT на руки,Алматы
Middle Python Developer,3–6 лет,от 4 000 до 4 000 USD на руки,Алматы
Преподаватель программирования,3–6 лет,от 180 000 до 280 000 KZT на руки,Алматы
Senior Python Developer,3–6 лет,от 5 000 до 5 500 USD на руки,Алматы
Full-stack developer (Python / Django / React),3–6 лет,з/п не указана,Астана
Middle/Senior Python developer (remote),3–6 лет,от 3 000 до 5 000 USD до вычета налогов,Алматы
Middle/Senior Python developer (remote),3–6 лет,от 3 000 до 5 000 USD до вычета налогов,Астана
Senior Python Developer,3–6 лет,з/п не указана,Алматы
Преподаватель по IT,1–3 года,от 250 000 до 400 000 KZT до вычета налогов,Астана
Senior Python Developer,3–6 лет,з/п не указана,Астана
Senior Python разработчик (back-end),более 6 лет,от 1 500 000 KZT до вычета налогов,Нур-Султан (Астана)
Django-разработчик на поддержку проекта,1–3 года,от 100 000 до 300 000 KZT на руки,Астана
,undefinite,undefinite,undefinite
Python Backend Разработчик,3–6 лет,от 400 000 до 800 000 KZT на руки,Астана
Инженер-программист,3–6 лет,з/п не указана,Алматы
Team Lead Backend-разработки/разработчик python/Go,1–3 года,з/п не указана,Алматы
Разработчик/Data Scientist (Big Data),1–3 года,з/п не указана,Астана
Django-разработчик,1–3 года,з/п не указана,Астана
Development Team Lead (Cyprus),более 6 лет,от 6 000 до 7 000 EUR на руки,Астана
Backend Node.js разрабочик со знанием python,более 6 лет,от 200 000 до 500 000 руб. на руки,Астана
Plotly Dash Developer,1–3 года,от 2 000 до 5 000 USD до вычета налогов,Астана
Frontend-разработчик,3–6 лет,з/п не указана,Алматы
"Data Scientist (Словения, удаленно)",3–6 лет,от 2 500 до 3 000 USD на руки,Астана
Senior Python Developer,1–3 года,з/п не указана,Алматы
Python разработчик,1–3 года,з/п не указана,Алматы
Middle Backend developer (NestJS),1–3 года,от 400 000 до 700 000 KZT на руки,Алматы
QA Intern - Automation testing,не требуется,з/п не указана,Алматы
C (embedded Linux) developer (Удаленно),1–3 года,з/п не указана,Костанай
QA Engineer,3–6 лет,от 400 000 до 700 000 KZT до вычета налогов,Алматы
QA Intern - Automation testing,не требуется,з/п не указана,Астана
Senior Go Developer,3–6 лет,до 1 300 000 KZT на руки,Алматы
Программист,3–6 лет,з/п не указана,Уральск
"IT Интерн (PL/SQL, бизнес-аналитик)",1–3 года,з/п не указана,Алматы
Deep Learning and Computer Vision Engineer,3–6 лет,з/п не указана,Аксай (Казахстан)
Разработчик RPA на Blue Prism,1–3 года,з/п не указана,Алматы
DevOps инженер (Dev Ops),более 6 лет,от 2 000 до 4 000 USD на руки,Алматы
Программист по обеспечению качества ПО,1–3 года,от 300 000 до 550 000 KZT на руки,Алматы
Тестировщик QA manual,1–3 года,з/п не указана,Алматы
