title,vacancy_type,work_experience,salary,currency,region,salary_min,salary_max,exp_min,exp_max,salary_mean,exp_mean,country
Python Разработчик,SE,1–3 года,от 200 000 до 1 500 000 KZT на руки,KZT,Астана,200000,1500000,1,3,850000,2,Казахстан
Full-stack Python Developer,SE,3–6 лет,от 4 500 до 5 000 EUR до вычета налогов,EUR,Астана,4500,5000,3,6,4750,5,Казахстан
Junior разработчик/программист в Python,SE,не требуется,от 150 000 до 200 000 KZT до вычета налогов,KZT,Нур-Султан (Астана),150000,200000,0,0,175000,0,Казахстан
Python Developer (Middle/Senior),SE,3–6 лет,от 2 000 до 4 000 USD на руки,USD,Алматы,2000,4000,3,6,3000,5,Казахстан
Backend разработчик,SE,1–3 года,з/п не указана,,Астана,0,0,1,3,0,2,Казахстан
Python разработчик в CM.Expert (Яндекс Вертикали),SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Разработчик Python / Django Developer (middle/senior),SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Python Developer,SE,1–3 года,з/п не указана,,Семей,0,0,1,3,0,2,Казахстан
Senior Python Developer,SE,3–6 лет,от 3 000 до 5 000 USD до вычета налогов,USD,Алматы,3000,5000,3,6,4000,5,Казахстан
Senior Python Developer,SE,3–6 лет,от 3 000 до 5 000 USD до вычета налогов,USD,Астана,3000,5000,3,6,4000,5,Казахстан
Middle Python Developer (микросервисная архитектура),SE,1–3 года,от 2 500 до 3 000 USD на руки,USD,Астана,2500,3000,1,3,2750,2,Казахстан
Разработчик Python в команду Data&AI,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Python Developer (Crypto),SE,3–6 лет,от 5 000 EUR на руки,EUR,Лимасол,0,5000,3,6,3750,5,Кипр
Разработчик,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Automation QA (Python/ JavaScript),WB,1–3 года,з/п не указана,,Астана,0,0,1,3,0,2,Казахстан
Python Developer,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Разработчик Python,SE,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Инженер по автоматизации тестирования (QA Automation Engineer) (Python/JavaScript/TypeScript),SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Middle Python|Django|FastAPI разработчик,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Senior backend разработчик Python,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Разработчик Python,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
"Программист Backend в Технический блок (Python, SQL)",other,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Go разработчик со знаниями Python,SE,1–3 года,до 1 000 000 KZT на руки,KZT,Алматы,0,1000000,1,3,750000,2,Казахстан
Middle/Senior Python Developer,SE,1–3 года,з/п не указана,,Алматы,0,0,1,3,0,2,Казахстан
Python разработчик в CM.Expert (Яндекс Вертикали),SE,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Senior Python developer,SE,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Senior Software Engineer (Python),other,3–6 лет,от 5 000 до 7 000 EUR на руки,EUR,Астана,5000,7000,3,6,6000,5,Казахстан
Backend разработчик со знанием Python,SE,3–6 лет,от 2 500 до 3 000 USD на руки,USD,Алматы,2500,3000,3,6,2750,5,Казахстан
Python Developer,SE,3–6 лет,з/п не указана,,Алматы,0,0,3,6,0,5,Казахстан
Python Developer,SE,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
"Разработчик С++/Python (senior), Linux, backend, embedded",SE,3–6 лет,от 160 000 до 250 000 руб. на руки,RUB,Алматы,160000,250000,3,6,205000,5,Казахстан
Middle Backend разработчик (Python),SE,3–6 лет,от 400 000 до 900 000 KZT на руки,KZT,Нур-Султан (Астана),400000,900000,3,6,650000,5,Казахстан
"Разработчик DevOps - Отдел роботизации процессов, внедрения мобильных ботов и технологии реальности",SE,3–6 лет,з/п не указана,,Нур-Султан (Астана),0,0,3,6,0,5,Казахстан
Разработчик Middle Backend (Python) Developer,SE,1–3 года,от 300 000 до 600 000 KZT до вычета налогов,KZT,Нур-Султан (Астана),300000,600000,1,3,450000,2,Казахстан
"Преподаватель по программированию (Python, С++, Java)",other,1–3 года,от 150 000 до 250 000 KZT на руки,KZT,Атырау,150000,250000,1,3,200000,2,Казахстан
Back-end developer,SE,1–3 года,от 600 000 до 750 000 KZT на руки,KZT,Алматы,600000,750000,1,3,675000,2,Казахстан
Middle Python Developer,SE,3–6 лет,от 4 000 до 4 000 USD на руки,USD,Алматы,4000,4000,3,6,4000,5,Казахстан
Преподаватель программирования,other,3–6 лет,от 180 000 до 280 000 KZT на руки,KZT,Алматы,180000,280000,3,6,230000,5,Казахстан
Senior Python Developer,SE,3–6 лет,от 5 000 до 5 500 USD на руки,USD,Алматы,5000,5500,3,6,5250,5,Казахстан
Full-stack developer (Python / Django / React),SE,3–6 лет,з/п не указана,,Астана,0,0,3,6,0,5,Казахстан
Middle/Senior Python developer (remote),SE,3–6 лет,от 3 000 до 5 000 USD до вычета налогов,USD,Алматы,3000,5000,3,6,4000,5,Казахстан
Middle/Senior Python developer (remote),SE,3–6 лет,от 3 000 до 5 000 USD до вычета налогов,USD,Астана,3000,5000,3,6,4000,5,Казахстан
